f09f8e9f;admission_tickets
f09f9aa1;aerial_tramway
e29c8800;airplane
f09f9bac;airplane_arriving
f09f9bab;airplane_departure
e28fb000;alarm_clock
e29a9700;alembic
f09f91be;space_invader
f09f9a91;ambulance
f09f8f88;football
f09f8fba;amphora
e29a9300;anchor
f09f92a2;anger
f09f98a0;angry
f09f98a7;anguished
f09f909c;ant
f09f93b6;signal_strength
f09f9484;arrows_counterclockwise
e2999200;aquarius
e2998800;aries
e2a4b500;arrow_heading_down
e2a4b400;arrow_heading_up
f09f9a9b;articulated_lorry
f09f8ea8;art
f09f98b2;astonished
f09f919f;athletic_shoe
e29a9b00;atom_symbol
f09f8d86;eggplant
f09f8fa7;atm
f09f9a97;car
f09f9a97;red_car
f09f91b6;baby
f09f91bc;angel
f09f8dbc;baby_bottle
f09f90a4;baby_chick
f09f9abc;baby_symbol
f09f9499;back
f09f90ab;camel
f09f8fb8;badminton_racquet_and_shuttlecock
f09f9b84;baggage_claim
f09f8e88;balloon
f09f97b3;ballot_box_with_ballot
e2989100;ballot_box_with_check
f09f8d8c;banana
f09f8fa6;bank
f09f92b5;dollar
f09f92b6;euro
f09f92b7;pound
f09f92b4;yen
f09f938a;bar_chart
f09f9288;barber
e29abe00;baseball
f09f8f80;basketball
f09f9b80;bath
f09f9b81;bathtub
f09f948b;battery
f09f8f96;beach_with_umbrella
f09f90bb;bear
f09f9293;heartbeat
f09f9b8f;bed
f09f8dba;beer
f09f9494;bell
f09f9495;no_bell
f09f9b8e;bellhop_bell
f09f8db1;bento
f09f9ab2;bike
f09f9ab4;bicyclist
f09f9199;bikini
f09f8eb1;8ball
e298a300;biohazard_sign
f09f90a6;bird
f09f8e82;birthday
e28fba00;black_circle_for_record
e299a300;clubs
e299a600;diamonds
e28fac00;arrow_double_down
e299a500;hearts
e2ac9b00;black_large_square
e28faa00;rewind
e28fae00;black_left__pointing_double_triangle_with_vertical_bar
e2978000;arrow_backward
e297be00;black_medium_small_square
e297bc00;black_medium_square
e29c9200;black_nib
e29d9300;question
e28fa900;fast_forward
e28fad00;black_right__pointing_double_triangle_with_vertical_bar
e296b600;arrow_forward
e28faf00;black_right__pointing_triangle_with_double_vertical_bar
e29ea100;arrow_right
e29c8200;scissors
e296aa00;black_small_square
e299a000;spades
f09f94b2;black_square_button
e28fb900;black_square_for_stop
e2988000;sunny
e2988e00;phone
e2988e00;telephone
e299bb00;recycle
e28fab00;arrow_double_up
f09f8cbc;blossom
f09f90a1;blowfish
f09f9398;blue_book
f09f9299;blue_heart
f09f9097;boar
f09f92a3;bomb
f09f9496;bookmark
f09f9391;bookmark_tabs
f09f939a;books
f09f8dbe;bottle_with_popping_cork
f09f9290;bouquet
f09f8fb9;bow_and_arrow
f09f8eb3;bowling
f09f91a6;boy
f09f8d9e;bread
f09f91b0;bride_with_veil
f09f8c89;bridge_at_night
f09f92bc;briefcase
f09f9294;broken_heart
f09f909b;bug
f09f8f97;building_construction
f09f8caf;burrito
f09f9a8c;bus
f09f9a8f;busstop
f09f91a4;bust_in_silhouette
f09f91a5;busts_in_silhouette
f09f8cb5;cactus
f09f9385;date
f09f93b7;camera
f09f93b8;camera_with_flash
f09f8f95;camping
e2998b00;cancer
f09f95af;candle
f09f8dac;candy
e2999100;capricorn
f09f9783;card_file_box
f09f9387;card_index
f09f9782;card_index_dividers
f09f8ea0;carousel_horse
f09f8e8f;flags
f09f9088;cat2
f09f90b1;cat
f09f98b9;joy_cat
f09f98bc;smirk_cat
e29b9300;chains
f09f9389;chart_with_downwards_trend
f09f9388;chart_with_upwards_trend
f09f92b9;chart
